"comp1","comp1_expl","comp2","comp2_expl","comp3","comp3_expl","AcademicDegree","ProgExp","ProgExpCompColleagues","Exp_OOP","Years_Prog","Years_ProgLargeProj","coh_Familiarity"
"2","A principio, a classe DB_Backend possui duas responsabilidade: gerência do pool e estabelecimento/encerramento das conexões. Dessa forma, reutilizar a gerência de pool para outras finalidades ficaria prejudicado.","1","A principio a classe DB_Helpers é uma classe que contém os métodos que não encontraram seu devido lugar no sistema :) Consequentemente, a coesão fica prejudicada.","2","A classe RelationSpouse utiliza os recursos de apresentação do Swing, portanto é menor coesa pois sua reutilização em outras tecnologias de apresentação ficaria prejudicada.","4","9","5","5","25","12","1"
"1","Porquê DB_InsertUpdate depende de DB_Backend, mas DB_Backend não depende de DB_InsertUpdate.  Assim, DB_InsertUpdate deve estar sempre acoplada a DB_Backend, o que diminui a coesão.","3","As duas classes são bastante coesas e têm poucas dependências para outras classes do software, sendo dificilmente quebradas em classes menores (o que geraria muitas dependências entre as novas classes formadas)","3","Ambas dependem das mesmas classes.","4","7","4","4","10","7","1"
"3","Dado o objetivo que é dado a cada classe acredito que as duas foram coesas com o que pretendiam realizar.  A primeira trata da conexão com o BD e nada mais e a segunda trata da inserção e alteração de dados no BD sendo assim não fazem mais ou além dos objetivos que lhe foram atribuídos.","1","A segunda classe mistura métodos de delete da BD com métodos de busca para preencher combo box, gerenciamento de ocupação dos quartos etc sendo assim pouco coesa, enquanto a primeira realiza apenas a configuração do aquivo.","3","As duas classes fazem um tratamento similar as relações familiares, uma trata no nível marido/mulher e na outra filho  pai/mãe","3","8","4","4","6","3","1"
"1","A linha de comando Class.forName(""com.mysql.jdbc.Driver"") torna a classe menos flexível. É como se a classe estivesse presa ao MySQl.","3","As duas classes tem o mesmo nível de flexibilidade. A diferença é que em uma você tem a robustem de um SGBD para garantir as propriedades ACID e na outra você teria a ""leveza"" de um arquivo XML. Nas duas situações (Banco e arquivo XML) você poderia acesso a informação de maneira estruturada (no banco pelo paradigma relaciona e pela XML usando as tags).","1","A classe RelationSpouse é mais coesa devido a necessidade de utilizar diversos imports.    import java.io.File;  import java.io.FileWriter;  import java.io.IOException;  import java.util.Iterator;    import javax.swing.JOptionPane;","4","9","4","4","12","3","1"
"1","Se analisarmos a coesão sob a perspectiva de que ela é medida de acordo com o relacionamento dos elementos internos, a classe DB_Backend é uma classe mais coesa do que a classe DB_InsertUpdate. Além disso, é mais difícil conseguir decompor esta classe.","1","A classe MainConfig2 é altamente coesa uma vez que seus elementos são altamente relacionados internamente, principalmente nos métodos load_config e save_config. Já a classe DB_Helpers apresenta uma baixa coesão. Além de seus elementos não estarem fortemente relacionados internamente, ela classe pode ser facilmente decomposta em outras classes.","3","Ambas as classes possuem o mesmo nível de coesão. Em ambos os casos o elementos relacionam-se internamente. Além disso, os atributos são utilizados pela maioria dos métodos implementados pela classe, o que indica uma forte coesão.","4","7","3","4","5","3","1"
"1","Backend is harder to split. Both operations Connect and Close are quite bonded to itself, since the DB handle is kept in the class (public static Connection).  The second class, in theory, could be divided into a Inserter and a Updater classes with no harm.","1","DB_Helpers has operations not only related to the DB, but also related to the business logic (related to a rooms availability) whereas the Main_Config2 has operations related to the Config only.","2","RelationSpouse has printing related functionality in it. It should be moved to a Printer class.","3","9","4","4","13","10","1"
"3","A primeira classe deixa claro que seu objetivo é gerenciar a conexão com o banco de dados. Internamente, de fato, seus métodos não fazem nada a mais que isso.    A segunda classe possui apenas métodos para inserir e atualizar registros no banco de dados (BD), que é o objetivo da classe. Contudo, de um lado, e segundo uma das referências anteriores, essa classe poderia ser dividida em duas (DB_Insert e DB_Update) e, por tanto, não estaria tão coesa. Por outro lado, o autor da classe deixou claro que o objetivo da classe é ""escrever"" no BD e, nesse caso, tanto insert quanto update estão dentro desse objetivo. Dessa forma, eu a considera tão coesa quanto a primeira classe.","1","O objetivo da primeira classe é bem definido, o da segunda não é. A segunda classe mistura regras de negócio específicas da reserva de quarto, ao mesmo tempo que fornece um método que delete qualquer tipo d entrada no banco de dados. A mesma poderia ser dividida em duas ou mais classes com objetivos mais específicos.","3","As classes possuem objetivos bem definidos.","4","9","4","4","8","6","1"
"1","A primeira classe não corresponde a sua descrição, pois não manipula a conexão com o banco de dados e sim o pool de conexões. Os atributos e métodos não são completamente coesos, pois misturam a manipulação de uma unica conexão, como login, senha, endereço da base etc, com métodos que dizem respeito a manipulação/criação do conjunto de conexões.    Já a segunda classe mistura características de operações na base de dados e query builder, dessa forma caracterizando a falta de coesão pelo excesso de responsabilidade.","1","A classe DB_Helpers mistura responsabilidades ao manipular elementos como combo box.","2","A classe RelationSpouse tem responsabilidades que não são condizentes com seu contexto. ex: printToFile","3","8","4","4","8","6","1"
"3","The DB_Backend class only contains methods to handle ""connect to DB"" feature.    The DB_InsertUpdate class also handle insert/update the data base so both classes are cohesive. They implement specific functionalists without using other classes. They also focus on specific functionalities.","2","Although the Main_Config2 is acting like a config file but it is better that for different related classes, we use different config class. This class is not cohesive, it contains all information to config DB, Invoice, Billing, storing guest data and so on. So it does not focus on specific functionality.  Helper Class helps to handle the functionalities of DB so it is more cohesive than the Main_config one.","3","Both handles specific functionality.","5","8","4","5","5","1","1"
"1","The members of DB_InsertUpdate are quite unrelated; for DB_Backend, the methods are concerned with fields of the same class.","1","Same as my previous answer: Main_Config2's members heavily use other members of the same class. That's not really the case for DB_Helpers.","3","I don't see substantial differences in the usage pattern of members.","5","7","3","4","10","0","1"
"3","Both classes do what you described they would, and nothing else.  Both classes log exception, which is crosscutting, but since both class do that, I feel they have similiar cohesion.","2","The Main_Config is tangled with fields for the hotel as well as for the database. It could easily be separated in two util classes.","2","RelationSpouse also handles children, but children are not necessary for husband and wife; on the other hand, parents are necessary for children, so the second class is more cohesive","5","4","2","3","7","0","1"
"1","* Class DB_Backend has 3 jobs: connect to the db, disconnect to the db, and track the connection and the connection information.    * DB_InsertUpdate is not actually an OO class, it is a set of functions in a module. If java had modules rather than classes we would put these methods into a module as functions. DB Insert Update does 2 things. Insert is actually quite different than update, although both are relevant to writing.","2","Both classes are pretty terrible for cohesion.    DB_Helpers is a utility class that mixes UI code with model code. It is really quite awful, but it is all relevant to the DB.    Main_Config2 is a smaller class, but its role is 2 fold, it contains DB information and billing information and currency information. I claim it is less cohesive because the distance from UI to Data is shorter than the distance of DB Config to Customer information.    Both are bad.","2","Similar classes but class 1: RelationSpouse couples itself with File IO directly. This is totally unnecessary, a toString() would be alright but FileIO is unweidly and complicated and you probably wanted that string anyways. FileIO is not relevant to a relationship. Immediate string serialization is.","5","9","4","4","20","13","1"
"1","I consider the first class more cohesive.  It only deals with database connections.  The second class deals with two types of db operations: insert, and update.  In this example, the second class might still be considered a cohesive class, but less cohesive relative to the first.","1","I look at the behavior.  The first class has varied data elements, but its behavior can be summarized as load config data, save config data, and retrieve any particular config data item.    The second class has many different behaviors, at multiple layers of abstraction, from db level concerns (getNextId, delEntry) to UI concerns (getComboItems) to business level operations (getNumberRooms).","2","The printToFile class in RelationSpouse does not belong.  It is not behavior that is related to the relationship.","4","8","4","4","15","15","1"
"3","It is quite difficult to assess the cohesion of a class by itself and with as little context as is provided in this question. That being said, none of the two classes are clearly non-cohesive (both have a clear purpose and the functionalities included in each are indeed conceptually related). Beyond that, very little can be said.","3","Very little can be said without further context. These both seem like utility classes, and they do have clearly defined functionality.","2","Now these, since they are very similar, I can make a judgment about. THe first class is more cohesive since the relationSpouse has a method related to printing its information to file, but relationParentChild does not.   That being said, I do not necessarily thin that it is wrong to include the print method in relationParentChild. THough it is less cohesive, it might be a good decision to put the print method inside this class. More context is needed (i.e. are all other Relation classes similar to Spouse or to ParentChild). I favor consistency over any metric such as cohesion.","4","10","5","5","15","5","1"
"1","The responsibility for the DB_Backend class was clear to me; as the name of the class implies, it keeps and manages the lifecycle of some connections to a database in the backend.    On the other hand, the second class seems to have no responsibility; it has no attribute and only contains some static methods. This class is just a placeholder for these utility methods (or functions, since they have no side effects to the class). The class might never be instantiated.","1","The first class, Main_Config2, its responsibility was clear to me; a instance of this class holds configuration settings for the system and provides methods for serializing/deserializing those information to/from an XML file.  I prefer to split the responsibility to following three parts: 1) holding hotel information, 2) holding database information, 3) serialization and deserialization.    As for the second class, DB_helpers, it is again a static utility class and its responsibility is ambiguous to me. Some concerns are overlapped; The fist three methods, getNextID and two delEntry, are utilities to wrap SQL queries in a table-independent way. Following two methods, getComboItems and getListItems, populates items into GUI models by querying the database. Remaining three methods, isRoomDeletable, getReservedRoomsAtDate and getNumberOfRooms encapsulates queries to specific tables in the database.","2","The second class contains a single responsibility to maintain parent-child relationship between domain objects. On the other hand, the first class, RelationSpouse, has extra responsibilities to report exceptions on a GUI widget and dump debug information in addition to the basic responsibility that maintains spouse relationship between domain objects.     Comparing objects using reference equivalence (==) in RelationParentChild#isParent() and #isChild() considered to be buggy, although I know this is not relevant to the survey.","5","8","5","5","18","10","1"
"3","Ambos estão resolvendo um problema específico.    Mas existe problemas graves de:   - repetição de código   - DB_InserUpdate depende de DB_Backend ( Deveria usar a Injeção de Dependência e Segregação de Interface)   - DB_Backend depende do MySQL ( Deveria usar a Injeção de Dependência e Segregação de Interface)","1","O Main_Config2 está muito duas responsabilidades:   - Ler/Escrever arquivo de configuração   - Fazendo papel de Entity    O DB_Helpers está com muitas responsabilidades, até mesmo para uma classe Helper.","2","A RelationSpouse está com muita responsabilidade. Ela não deveria escrever em arquivo e também não deveria ser responsável pela View.    Eu não modificaria o RelationParentChild.","4","8","4","4","10","4","1"
"1","In my opinion the DB_Backend is a bit more cohesive than DB_InsertUpdate but not by much. Both classes are very easy to understand. However, DB_Backend seems a bit more cohesive because all the fields (conns, con_pool, Host, etc.) and all the methods (DB_Backend, init, connect_DB, etc.) implementing this database backend functionality are inside the class. On the other hand, the DB_InsertUpdate class does not have everything “encapsulated” in that class, and is also implementing 2 related (but slightly different) concepts: insert and update.","1","These 2 classes implement “miscellaneous” functionality. The first one (Main_Config2) deals with all the configuration settings (language, hotel information, database, billing policies, etc.) and the second one (DB_Helpers) deals with various operations on the database (delete entries, get number of rooms, etc.). These classes are not as cohesive as the previous 2 classes (DB_Backend and DB_InsertUpdate). However, in my opinion Main_Config2 is slightly more cohesive than DB_Helpers because DB_Helpers implements functionality from the solution domain (deleting entries in the table) as well as problem domain (get number of rooms), whereas Main_Config2 only deals with the settings (however diverse they are).","2","These 2 classes are almost equally cohesive. However, the RelationParentChild class seems to be a bit more cohesive than the RelationSpouse because the RelationSpouse class has the method printToFile(File f) which deals with Input/Output functionality, and which is not coherent with the remaining fields and methods of the class that deal with “relation” issues.","5","10","5","5","14","7","1"
"3","Each class is specialize to a behavior (connexion vs. update)","2","The first one Main_Config2 merge both hotels data and database data  The second one have only information to help the sue of database","1","Bith classes have a problem with the method getPartner(). I think it is a method for Person.  The class RelationParentChild is more cohesive because of the method printToFile() in the class RelationSpouse that make it less cohesive","5","4","4","4","3","1","2"
"1","DB_Backend class encapsulates data for a database connection and provides methods for the connection.  DB_InsertUpdate class provides only functions.  The static methods could be integrated in other DB access class, e.g. DB_Backend.","1","The methods in Main_Config2 provide access to a program configuration, though the actual data members may be not related to each other.  Some methods in DB_Helpers are not related to each other, and they are located in DB_Helpers because they are just helper methods.","2","This is the difficult question, but printToFile method in RelationSpouse class may be located in another class that defines a format of textual output.","5","6","3","4","15","3","1"
"1","A primeira classe lida, em sua maior parte, com atributos definidos na própria classe. Além disso, é possível perceber claramente que a classe representa um conceito (gerenciamento de conexões com BD). Isso ajuda na leitura e entendimento da classe.    Por outro lado, a segunda classe já possui de cara um indício de que não é coesa: não possui nem um atributo e possui métodos grandes que utilizam métodos de várias outras classes.","1","O cenário é parecido com o anterior. O agravante da segunda classe é que ela disponibiliza métodos que não parecem ter relações com um único conceito, ou seja, métodos não relacionados. Por exemplo, essa mesma classe lida com conceito de ID, com o gerenciamento de quartos etc    Por outro lado, é simples dizer o que a primeira classe faz - lida com a configuração do sistema. Perceba que os métodos dessa classe acessam/modificam quase que unicamente os atributos dessa própria classe.","2","A segunda classe é mais coesa que a primeira. A primeira classe, além de lidar com seus atributos e possuir métodos que lidam com as relações marido-esposa, possui um método para imprimir em um arquivo os dados. Para mim, isso afeta a coesão, pois a classe lida com mais de um conceito (relação marido-esposa e persistencia de dados).","4","8","4","5","8","4","1"
"3","Verifiquei se as classes fazem o que foram criadas para fazer, sem extender suas responsabilidades, e na minha opinião ambas são coesas.","1","A primeira classe possui um papel bem definido, enquanto a segunda realiza diversas operações de banco, tanto de persistência quanto de consulta, além de realizar consultas a tabelas específicas, quando sua função proposta era de ser uma classe utilitária. Os métodos de consulta a tabelas específicas deveriam estar em classes criadas especificamente para acesso a estas tabelas.","2","A segunda classe possui alta coesã, enquanto a primeira extrapola suas responsabilidades ao realizar envio de mensagens de alerta e gravação em arquivos.","1","6","3","3","4","4","1"
"3","Because the methods belonging to each of the two classes seems to be very particular to the intention described below","1","Considering there is a class dedicated to only updating the database, the same can be done to delete or get information from the database. In other words, BD_Helpers can be separated in a class for only queries and another for only deleting.  However, I don't understand why a configuration needs all that info, why database info must be with name, phone, etc.","1","The RelationParentChild seems to be recycled from the other class. Why there is a methods called ""getPartner"", the intention is not clear.   Besides, both class have methods called ""getPerson1"" and ""getPerson2"" which does not make a lot of sense.","2","7","3","4","5","1.5","1"
"3","Based on the class name and its method names, both classes look like their methods should be included in those classes and no in any other class.","3","The first class (Main_Config2) can be separated in two classes (one to set, another to get). The other class looks like is just a class that has been used to put methods related to a DB that do not fit anywhere else.","3","Given that both classes have similar functionality (to find out the relation between two relatives), and the methods are similar, I decided to determine that both classes have similar cohesion.","4","8","4","4","7","4","2"
"1","Although the design of the first class might not be considered optimal, it at least provides higher cohesion than the second. That is because the private fields of the class are used for database connectivity from all the methods. And the responsibility of the class is driver-level database connectivity. However, it should be noted that it mixes in Messaging, JOptionPane and Logging calls. These are cross-cutting concerns. At the very least, the class should use one single method of providing messages or errors, and not a mixed bunch of different calls to different classes. That responsibility is better suited to be in the caller of the class.    The second class, on the other hand, provides only static methods that do not share any code or fields and also contain similar/duplicate lines. They also represent two responsibilities: Insert and Update. It can therefore be split easily into two classes.","1","Again, the first class is more cohesive. It provides access to the system configuration, serving the role of a kind of &quot;Configuration Manager&quot;. The private fields are reused in different methods and the common responsibility of the class is very clearly cut.    The second class is just a random collection of helpful methods, that mostly do not have any contextual similarities in their responsibilities. Their code is probably much better suited to be put into classes that are responsible for the respective tasks, e.g. a &quot;DeleteEntryCommand&quot;.","2","Here, both classes contain the code for a specific relation, which is correctly specified in both cases. The only difference is, that the first class is actually mixing other code into its behavior (like the JOptionPane calls), which has nothing to do with its intended responsibility (which I think should be just the representation of a relationship).    Thus, the second class is more coherent, because it does not mix in different concerns like the display of messages.","4","8","4","5","7","2","1"
"1","Porque a segunda classe DB_InsertUpdate precisa da primeira DB_Backend para funcionar","1","Na primeira clase Main_config2 eu nao consegui identificar o uso de outras classes  Na segunda classe DB_Helpers eu percebi que ela usa a classe DB_Backend","3","Ambas são subclasses de Relation","4","8","4","4","15","15","1"
"3","Todos os métodos e propriedades das classes dizem respeito ao problema que elas foram destinadas a resolver. Apesar de achar estranho uma modelagem que dedica uma classe apenas para gerenciar conexões e outra apenas para cuidar de inserções e atualizações no banco de dados, não me parece que a coesão das mesmas foi afetada.","1","Na minha opinião a primeira classe é coesa pois se restringe apenas a carregar parâmetros gerais de configuração do software, e manipular esses parâmetros internamente (métodos get e set). Por outro lado, a segunda classe perde coesão a partir do momento em que funções que lêem informações do banco de dados se misturam com funções que manipulam os formulários utilizados na interface do usuário.","2","Neste caso a segunda classe é mais coesa do que a primeira, pois enquanto que a primeira classe mistura métodos destinados a manipular arquivos em disco com métodos que tratam do relacionamento marido/mulher (responsabilidade principal da classe), a segunda trata APENAS do relacionamento pais/filhos, mantendo assim a sua coesão.","4","8","4","4","15","0","1"
"2","a primeira se propõe a manusear a conexão com o banco de dados estando inclusas aí as atividades de abertura, fechamento e recuperação de uma conexão. já a segunda somente atualiza o estado do banco de dados.","1","apesar da classe Main_Config2 apresentar 2 operações (save_config() e load_config()) distintas do seu propósito inicial de setar  e recupear parâmetros de configuração a classe DB_Helpers apresenta operações de contextos muito distintos de um do outro (get_nextID(), del_entry(), getListItems(), etc.). em outras palavras,  a primeira diz respeito somete à configuração enquanto a segunda contém operações genéricas em tabelas bem como relacionadas a booking ou ainda a rooms.","1","ambas as classes apresentam métodos semelhantes, aparentemente herdados da classe Relation. no entanto a classe RelationSpouse tem um método que caiu do céu para salvar salvar em arquivo.","4","6","3","4","6","0","1"
